"module_code","group_code","semester_code","week","date","start","end","location_code","teaching_mode"
"YSC2231","E1","AY2021-1",1,2020-08-13,"18:30","20:30","Y-TCTLT","F2F"
"YSC2231","E1","AY2021-1",2,2020-08-20,"18:30","20:30","Y-TCTLT","F2F"
"YSC2231","E1","AY2021-1",3,2020-08-27,"18:30","20:30","Y-TCTLT","F2F"
"YSC2231","E1","AY2021-1",4,2020-09-03,"18:30","20:30","Y-TCTLT","F2F"
"YSC2231","E1","AY2021-1",5,2020-09-10,"18:30","20:30","Y-TCTLT","F2F"
"YSC2231","E1","AY2021-1",6,2020-09-17,"18:30","20:30","Y-TCTLT","F2F"
"YSC2231","E1","AY2021-1",8,2020-10-01,"18:30","20:30","Y-TCTLT","F2F"
"YSC2231","E1","AY2021-1",9,2020-10-08,"18:30","20:30","Y-TCTLT","F2F"
"YSC2231","E1","AY2021-1",10,2020-10-15,"18:30","20:30","Y-TCTLT","F2F"
"YSC2231","E1","AY2021-1",11,2020-10-22,"18:30","20:30","Y-TCTLT","F2F"
"YSC2231","E1","AY2021-1",12,2020-10-29,"18:30","20:30","Y-TCTLT","F2F"
"YSC2231","E1","AY2021-1",13,2020-11-05,"18:30","20:30","Y-TCTLT","F2F"
"YSC2231","E1","AY2021-1",14,2020-11-12,"18:30","20:30","Y-TCTLT","F2F"
"YSC2231","E1","AY2021-1",1,2020-08-10,"18:30","20:30","Y-TCTLT","F2F"
"YSC2231","E1","AY2021-1",2,2020-08-17,"18:30","20:30","Y-TCTLT","F2F"
"YSC2231","E1","AY2021-1",3,2020-08-24,"18:30","20:30","Y-TCTLT","F2F"
"YSC2231","E1","AY2021-1",4,2020-08-31,"18:30","20:30","Y-TCTLT","F2F"
"YSC2231","E1","AY2021-1",5,2020-09-07,"18:30","20:30","Y-TCTLT","F2F"
"YSC2231","E1","AY2021-1",6,2020-09-14,"18:30","20:30","Y-TCTLT","F2F"
"YSC2231","E1","AY2021-1",8,2020-09-28,"18:30","20:30","Y-TCTLT","F2F"
"YSC2231","E1","AY2021-1",9,2020-10-05,"18:30","20:30","Y-TCTLT","F2F"
"YSC2231","E1","AY2021-1",10,2020-10-12,"18:30","20:30","Y-TCTLT","F2F"
"YSC2231","E1","AY2021-1",11,2020-10-19,"18:30","20:30","Y-TCTLT","F2F"
"YSC2231","E1","AY2021-1",12,2020-10-26,"18:30","20:30","Y-TCTLT","F2F"
"YSC2231","E1","AY2021-1",13,2020-11-02,"18:30","20:30","Y-TCTLT","F2F"
"YSC2231","E1","AY2021-1",14,2020-11-09,"18:30","20:30","Y-TCTLT","F2F"
"YCC2137","L6","AY2021-1",1,2020-08-10,"18:00","19:30","ERC-ALR","F2F"
"YCC2137","L6","AY2021-1",2,2020-08-17,"18:00","19:30","ERC-ALR","F2F"
"YCC2137","L6","AY2021-1",3,2020-08-24,"18:00","19:30","ERC-ALR","F2F"
"YCC2137","L6","AY2021-1",4,2020-08-31,"18:00","19:30","ERC-ALR","F2F"
"YCC2137","L6","AY2021-1",5,2020-09-07,"18:00","19:30","ERC-ALR","F2F"
"YCC2137","L6","AY2021-1",6,2020-09-14,"18:00","19:30","ERC-ALR","F2F"
"YCC2137","L6","AY2021-1",8,2020-09-28,"18:00","19:30","ERC-ALR","F2F"
"YCC2137","L6","AY2021-1",9,2020-10-05,"18:00","19:30","ERC-ALR","F2F"
"YCC2137","L6","AY2021-1",10,2020-10-12,"18:00","19:30","ERC-ALR","F2F"
"YCC2137","L6","AY2021-1",11,2020-10-19,"18:00","19:30","ERC-ALR","F2F"
"YCC2137","L6","AY2021-1",12,2020-10-26,"18:00","19:30","ERC-ALR","F2F"
"YCC2137","L6","AY2021-1",13,2020-11-02,"18:00","19:30","ERC-ALR","F2F"
"YCC2137","L6","AY2021-1",14,2020-11-09,"18:00","19:30","ERC-ALR","F2F"
"YSC3211","E1","AY2021-1",1,2020-08-13,"8:30","10:30",NA,"REMOTE"
"YSC3211","E1","AY2021-1",2,2020-08-20,"8:30","10:30",NA,"REMOTE"
"YSC3211","E1","AY2021-1",3,2020-08-27,"8:30","10:30",NA,"REMOTE"
"YSC3211","E1","AY2021-1",4,2020-09-03,"8:30","10:30",NA,"REMOTE"
"YSC3211","E1","AY2021-1",5,2020-09-10,"8:30","10:30",NA,"REMOTE"
"YSC3211","E1","AY2021-1",6,2020-09-17,"8:30","10:30",NA,"REMOTE"
"YSC3211","E1","AY2021-1",8,2020-10-01,"8:30","10:30",NA,"REMOTE"
"YSC3211","E1","AY2021-1",9,2020-10-08,"8:30","10:30",NA,"REMOTE"
"YSC3211","E1","AY2021-1",10,2020-10-15,"8:30","10:30",NA,"REMOTE"
"YSC3211","E1","AY2021-1",11,2020-10-22,"8:30","10:30",NA,"REMOTE"
"YSC3211","E1","AY2021-1",12,2020-10-29,"8:30","10:30",NA,"REMOTE"
"YSC3211","E1","AY2021-1",13,2020-11-05,"8:30","10:30",NA,"REMOTE"
"YSC3211","E1","AY2021-1",14,2020-11-12,"8:30","10:30",NA,"REMOTE"
"YSC3211","E1","AY2021-1",1,2020-08-10,"8:30","10:30",NA,"REMOTE"
"YSC3211","E1","AY2021-1",2,2020-08-17,"8:30","10:30",NA,"REMOTE"
"YSC3211","E1","AY2021-1",3,2020-08-24,"8:30","10:30",NA,"REMOTE"
"YSC3211","E1","AY2021-1",4,2020-08-31,"8:30","10:30",NA,"REMOTE"
"YSC3211","E1","AY2021-1",5,2020-09-07,"8:30","10:30",NA,"REMOTE"
"YSC3211","E1","AY2021-1",6,2020-09-14,"8:30","10:30",NA,"REMOTE"
"YSC3211","E1","AY2021-1",8,2020-09-28,"8:30","10:30",NA,"REMOTE"
"YSC3211","E1","AY2021-1",9,2020-10-05,"8:30","10:30",NA,"REMOTE"
"YSC3211","E1","AY2021-1",10,2020-10-12,"8:30","10:30",NA,"REMOTE"
"YSC3211","E1","AY2021-1",11,2020-10-19,"8:30","10:30",NA,"REMOTE"
"YSC3211","E1","AY2021-1",12,2020-10-26,"8:30","10:30",NA,"REMOTE"
"YSC3211","E1","AY2021-1",13,2020-11-02,"8:30","10:30",NA,"REMOTE"
"YSC3211","E1","AY2021-1",14,2020-11-09,"8:30","10:30",NA,"REMOTE"
"YCC2137","L6","AY2021-1",1,2020-08-13,"18:00","19:30","ERC-ALR","F2F"
"YCC2137","L6","AY2021-1",2,2020-08-20,"18:00","19:30","ERC-ALR","F2F"
"YCC2137","L6","AY2021-1",3,2020-08-27,"18:00","19:30","ERC-ALR","F2F"
"YCC2137","L6","AY2021-1",4,2020-09-03,"18:00","19:30","ERC-ALR","F2F"
"YCC2137","L6","AY2021-1",5,2020-09-10,"18:00","19:30","ERC-ALR","F2F"
"YCC2137","L6","AY2021-1",6,2020-09-17,"18:00","19:30","ERC-ALR","F2F"
"YCC2137","L6","AY2021-1",8,2020-10-01,"18:00","19:30","ERC-ALR","F2F"
"YCC2137","L6","AY2021-1",9,2020-10-08,"18:00","19:30","ERC-ALR","F2F"
"YCC2137","L6","AY2021-1",10,2020-10-15,"18:00","19:30","ERC-ALR","F2F"
"YCC2137","L6","AY2021-1",11,2020-10-22,"18:00","19:30","ERC-ALR","F2F"
"YCC2137","L6","AY2021-1",12,2020-10-29,"18:00","19:30","ERC-ALR","F2F"
"YCC2137","L6","AY2021-1",13,2020-11-05,"18:00","19:30","ERC-ALR","F2F"
"YCC2137","L6","AY2021-1",14,2020-11-12,"18:00","19:30","ERC-ALR","F2F"
"YSC2244","E1","AY2021-1",1,2020-08-12,"9:00","12:00",NA,"REMOTE"
"YSC2244","E1","AY2021-1",2,2020-08-19,"9:00","12:00",NA,"REMOTE"
"YSC2244","E1","AY2021-1",3,2020-08-26,"9:00","12:00",NA,"REMOTE"
"YSC2244","E1","AY2021-1",4,2020-09-02,"9:00","12:00",NA,"REMOTE"
"YSC2244","E1","AY2021-1",5,2020-09-09,"9:00","12:00",NA,"REMOTE"
"YSC2244","E1","AY2021-1",6,2020-09-16,"9:00","12:00",NA,"REMOTE"
"YSC2244","E1","AY2021-1",8,2020-09-30,"9:00","12:00",NA,"REMOTE"
"YSC2244","E1","AY2021-1",9,2020-10-07,"9:00","12:00",NA,"REMOTE"
"YSC2244","E1","AY2021-1",10,2020-10-14,"9:00","12:00",NA,"REMOTE"
"YSC2244","E1","AY2021-1",11,2020-10-21,"9:00","12:00",NA,"REMOTE"
"YSC2244","E1","AY2021-1",12,2020-10-28,"9:00","12:00",NA,"REMOTE"
"YSC2244","E1","AY2021-1",13,2020-11-04,"9:00","12:00",NA,"REMOTE"
"YSC2244","E1","AY2021-1",14,2020-11-11,"9:00","12:00",NA,"REMOTE"
"YSC3232","E1","AY2021-1",1,2020-08-14,"14:30","16:00",NA,"REMOTE"
"YSC3232","E1","AY2021-1",2,2020-08-21,"14:30","16:00",NA,"REMOTE"
"YSC3232","E1","AY2021-1",3,2020-08-28,"14:30","16:00",NA,"REMOTE"
"YSC3232","E1","AY2021-1",4,2020-09-04,"14:30","16:00",NA,"REMOTE"
"YSC3232","E1","AY2021-1",5,2020-09-11,"14:30","16:00",NA,"REMOTE"
"YSC3232","E1","AY2021-1",6,2020-09-18,"14:30","16:00",NA,"REMOTE"
"YSC3232","E1","AY2021-1",8,2020-10-02,"14:30","16:00",NA,"REMOTE"
"YSC3232","E1","AY2021-1",9,2020-10-09,"14:30","16:00",NA,"REMOTE"
"YSC3232","E1","AY2021-1",10,2020-10-16,"14:30","16:00",NA,"REMOTE"
"YSC3232","E1","AY2021-1",11,2020-10-23,"14:30","16:00",NA,"REMOTE"
"YSC3232","E1","AY2021-1",12,2020-10-30,"14:30","16:00",NA,"REMOTE"
"YSC3232","E1","AY2021-1",13,2020-11-06,"14:30","16:00",NA,"REMOTE"
"YSC3232","E1","AY2021-1",14,2020-11-13,"14:30","16:00",NA,"REMOTE"
"YSC3232","E1","AY2021-1",1,2020-08-12,"14:30","16:00",NA,"REMOTE"
"YSC3232","E1","AY2021-1",2,2020-08-19,"14:30","16:00",NA,"REMOTE"
"YSC3232","E1","AY2021-1",3,2020-08-26,"14:30","16:00",NA,"REMOTE"
