code,full_name
Y-CR1,SAGA COLLEGE - CLASSROOM 1
Y-CR2,SAGA COLLEGE - CLASSROOM 2
Y-CR3,SAGA COLLEGE - CLASSROOM 3
Y-CR4,SAGA COLLEGE - CLASSROOM 4
Y-CR5,SAGA COLLEGE - CLASSROOM 5
Y-CR6,SAGA COLLEGE - CLASSROOM 6
Y-CR7,SAGA COLLEGE - CLASSROOM 7
Y-CR8,SAGA COLLEGE - CLASSROOM 8
Y-CR9,ELM COLLEGE - CLASSROOM 9
Y-KChanrai,ELM COLLEGE - KEWALRAM CHANRAI ROOM
Y-CR11,ELM COLLEGE - CLASSROOM 11
Y-CR12,ELM COLLEGE - CLASSROOM 12
Y-CR13,ELM COLLEGE - CLASSROOM 13
Y-CR14,ELM COLLEGE - CLASSROOM 14
Y-CR15,LIBRARY - CLASSROOM 15
Y-CR16,LIBRARY - CLASSROOM 16
Y-CR17,SCIENCE CENTRE - CLASSROOM 17
Y-CR18,CENDANA COLLEGE - CLASSROOM 18
Y-CR19,CENDANA COLLEGE - CLASSROOM 19
Y-CR20,CENDANA COLLEGE - CLASSROOM 20
Y-CR21,CENDANA COLLEGE - CLASSROOM 21
Y-CR22,CENDANA COLLEGE - CLASSROOM 22
Y-CR23,CENDANA COLLEGE - CLASSROOM 23
Y-GLRm1,LIBRARY - GLOBAL LEARNING ROOM 1
Y-GLRm2,LIBRARY - GLOBAL LEARNING ROOM 2
Y-PgRm1,LIBRARY - PROGRAMME ROOM 1
Y-PgRm2,LIBRARY - PROGRAMME ROOM 2
Y-CompLab,LIBRARY - COMPUTER LAB
Y-LT1,SAGA COLLEGE - LECTURE THEATRE 1
Y-TCTLT,ELM COLLEGE - TAN CHIN TUAN LECTURE THEATRE
Y-BioLab,SCIENCE CENTRE - LAB 1 (Physics Lab)
Y-ChemLab,SCIENCE CENTRE - LAB 2 (Life Sciences Lab)
Y-PhysLab,SCIENCE CENTRE - LAB 3 (Y.E.S. Lab)
Y-OChemLab,SCIENCE CENTRE - LAB 4 (Chemistry Lab)
Y-ArtsStud,CENDANA COLLEGE - STUDIO 2 (GEORGETTE CHEN ARTS STUDIO)
Y-Studio3,CENDANA COLLEGE - STUDIO 3
Y-DanceStu,CENDANA COLLEGE - STUDIO 1 (DANCE STUDIO)
Y-Studio4,ARTS CENTRE - FABRICATION STUDIO 4
Y-Studio5,ARTS CENTRE - FABRICATION STUDIO 5
Y-PracRm6,ARTS CENTRE - PRACTICE ROOM 6
Y-PerfHall,ARTS CENTRE - PERFORMANCE HALL
Y-RC2SC,RC2 Student Common
UT-AUD03,UT- Auditorium 3
UTSRC-AUD2,SRC - Auditorium 2
UTSRC-GLR,SRC - Global Learning Room
UTSRC-LT51,SRC - Lecture Theatre 51
UTSRC-LT52,SRC - Lecture Theatre 52
UTSRC-LT53,SRC - Lecture Theatre 53
UTTP-AUD1,TP- Auditorium 1
NA,NA
ERC-ALR,ERC - Active Learning Room
NAK-AUD,ERC - Ngee Ann Kong Si Auditorium
Y-BlackBox,ARTS CENTRE - BLACK BOX THEATRE
Y-ELMCL,ELM COLLEGE - COMMON LOUNGE
Y-YESLab,SCIENCE CENTRE - LAB 3 (Y.E.S. Lab)
TP-GLR,TP - Global Learning Room
