"title","module_code","semester_code"
"Literature and Humanities 2","YCC1112","AY2021-2"
"Philosophy and  Political Thought 2","YCC1114","AY2021-2"
"Scientific Inquiry 1","YCC1131","AY2021-2"
"Introduction to Anthropology","YSS2227","AY2021-2"
"Anthropology of Development","YSS3253","AY2021-2"
"Anthropology of China","YSS3268","AY2021-2"
"Technology and Culture","YSS3309","AY2021-2"
"Neoliberalism","YSS3320","AY2021-2"
"Religion and the Media Turn","YSS4235","AY2021-2"
"Gender and Sexuality in South Asia","YSS4250","AY2021-2"
"Psychological Anthropology","YSS4261","AY2021-2"
"Masterpieces of Western Art: Renaissance to the Present","YHU2203","AY2021-2"
"Digital Narratives","YHU2222","AY2021-2"
"Documentary Photography","YHU2223","AY2021-2"
"Introduction to Arts","YHU2291","AY2021-2"
"Exhibitions and the Sites of Display","YHU2300","AY2021-2"
"A Reporter’s Toolbox: The Practice of Daily Journalism","YHU2310","AY2021-2"
"Installation Art","YHU3288","AY2021-2"
"Life Drawing","YHU3292","AY2021-2"
"Postcolonial Art","YHU3341","AY2021-2"
"Integrative Music Theory 2","YHU3342","AY2021-2"
"Theatre-Making Laboratory","YHU3344","AY2021-2"
"Media Arts for Just Futures","YHU3347","AY2021-2"
"Arts and Humanities Capstone Project","YHU4104","AY2021-2"
"Advanced Creative Nonfiction","YHU4214","AY2021-2"
"Advanced Fiction Writing","YHU4215","AY2021-2"
"Advanced Poetry Writing","YHU4216","AY2021-2"
"Art Studio Research, Experimentation and Critique","YHU4243","AY2021-2"
"Experimental Animation and the Mechanics of Movement","YHU4251","AY2021-2"
"Principles of Economics","YSS1203","AY2021-2"
"Introduction to Game Theory","YSS1205","AY2021-2"
"Intermediate Microeconomics","YSS2203","AY2021-2"
"Econometrics","YSS2211","AY2021-2"
"Intermediate Macroeconomics","YSS2214","AY2021-2"
"Behavioral Economics","YSS3203","AY2021-2"
"Development Economics","YSS3204","AY2021-2"
"International Trade","YSS3205","AY2021-2"
"Advanced Microeconomics","YSS3208","AY2021-2"
"Political Economy","YSS3220","AY2021-2"
"Advanced Macroeconomics","YSS3248","AY2021-2"
"Bubbles, Crashes, Panics and Crises","YSS3264","AY2021-2"
"Money and Banking","YSS3299","AY2021-2"
"Modern History of Economic Globalisation","YSS3306","AY2021-2"
"Environmental Economics","YSS3307","AY2021-2"
"The Chinese Economy","YSS3315","AY2021-2"
"Economics Capstone Project","YSS4104","AY2021-2"
"Foundations of Environmental Humanities","YHU2320","AY2021-2"
"Another World is Possible: Ecotopian Visions","YHU3343","AY2021-2"
"Introduction to Environmental Studies","YID1201","AY2021-2"
"Data Science for the Environment","YID2212","AY2021-2"
"Urban Agriculture","YID2213","AY2021-2"
"Special Topics: Ocean and Society in Southeast Asia","YID3202F","AY2021-2"
"Environmental Studies Capstone Project","YID4101","AY2021-2"
"Biogeophysical Systems","YSC2253","AY2021-2"
"Sustainable Consumption","YSS3311","AY2021-2"
"Food and Sustainability","YSS3312","AY2021-2"
"Environmental Impacts of China’s Investments","YSS3313","AY2021-2"
"International Relations","YSS2202","AY2021-2"
