"faculty_id","module_code","group_code","semester_code","teaching_mode"
"ynctpm","YCC1112","L1","AY2021-2","F2F"
"yncfclc","YCC1112","L2","AY2021-2","F2F"
"yncedj","YCC1112","L3","AY2021-2","F2F"
"yncbtc","YCC1112","L4","AY2021-2","F2F"
"yncgkd","YCC1112","L5","AY2021-2","F2F"
"yncbga","YCC1112","L6","AY2021-2","F2F"
"yncnjb","YCC1112","L7","AY2021-2","REMOTE"
"ynchayb","YCC1112","L8","AY2021-2","F2F"
"yncfclc","YCC1112","L9","AY2021-2","F2F"
"yncedj","YCC1112","L10","AY2021-2","F2F"
"yncbk","YCC1112","L11","AY2021-2","F2F"
"yncbtc","YCC1112","L12","AY2021-2","F2F"
"yncatlc","YCC1112","L13","AY2021-2","F2F"
"yncbk","YCC1112","L14","AY2021-2","F2F"
"yncbam","YCC1114","L1","AY2021-2","F2F"
"yncgbw","YCC1114","L2","AY2021-2","F2F"
"ynckoht","YCC1114","L3","AY2021-2","F2F"
"ynclcml","YCC1114","L4","AY2021-2","F2F"
"yncele","YCC1114","L5","AY2021-2","F2F"
"yncrz","YCC1114","L6","AY2021-2","F2F"
"T0000016927","YCC1114","L7","AY2021-2","F2F"
"yncbam","YCC1114","L8","AY2021-2","F2F"
"ynclcml","YCC1114","L9","AY2021-2","F2F"
"yncgbw","YCC1114","L10","AY2021-2","F2F"
"ynckmc","YCC1114","L11","AY2021-2","REMOTE"
"yncfsl","YCC1114","L12","AY2021-2","F2F"
"yncele","YCC1114","L13","AY2021-2","F2F"
"T0000016927","YCC1114","L14","AY2021-2","F2F"
"yncmvb","YCC1131","L1","AY2021-2","F2F"
"yncpohl","YCC1131","L2","AY2021-2","F2F"
"yncjpm","YCC1131","L3","AY2021-2","F2F"
"ynccn","YCC1131","L4","AY2021-2","F2F"
"yncsce","YCC1131","L5","AY2021-2","F2F"
"yncjg","YCC1131","L6","AY2021-2","REMOTE"
"yncccym","YCC1131","L7","AY2021-2","F2F"
"yncbjw","YCC1131","L8","AY2021-2","F2F"
"yncsam","YCC1131","L9","AY2021-2","F2F"
"yncjpm","YCC1131","L10","AY2021-2","F2F"
"yncsce","YCC1131","L11","AY2021-2","F2F"
"yncckh","YCC1131","L12","AY2021-2","F2F"
"yncpohl","YCC1131","L13","AY2021-2","F2F"
"yncnm","YSS2227","E1","AY2021-2","F2F"
"T0000016928","YSS3253","E1","AY2021-2","F2F"
"ynchzm","YSS3268","E1","AY2021-2","F2F"
"ynchzm","YSS3309","E1","AY2021-2","F2F"
"T0000017082","YSS3320","E1","AY2021-2","F2F"
"yncnm","YSS4235","E1","AY2021-2","F2F"
"yncvhcc","YSS4250","E1","AY2021-2","REMOTE"
"T0000016928","YSS4261","E1","AY2021-2","F2F"
"ynctpm","YHU2203","E1","AY2021-2","F2F"
"yncleec","YHU2222","E1","AY2021-2","F2F"
"T0000015182","YHU2223","E1","AY2021-2","F2F"
"yncjjc","YHU2291","E1","AY2021-2","F2F"
"T0000015187","YHU2300","E1","AY2021-2","F2F"
"T0000016263","YHU2310","E1","AY2021-2","F2F"
"yncjjc","YHU3288","E1","AY2021-2","F2F"
"yncchan","YHU3292","E1","AY2021-2","F2F"
"T0000015187","YHU3341","E1","AY2021-2","F2F"
"muslic","YHU3342","E1","AY2021-2","F2F"
"yncvjm","YHU3344","E1","AY2021-2","F2F"
"T0000016929","YHU3347","E1","AY2021-2","F2F"
"ynctpm","YHU4104","E1","AY2021-2","F2F"
"yncsht","YHU4214","E1","AY2021-2","F2F"
"yncbk","YHU4215","E1","AY2021-2","F2F"
"yncyll","YHU4216","E1","AY2021-2","F2F"
"yncchan","YHU4243","E1","AY2021-2","F2F"
"yncchan","YHU4251","E1","AY2021-2","F2F"
"yncdej","YSS1203","E1","AY2021-2","F2F"
"yncdf","YSS1205","E1","AY2021-2","REMOTE"
"yncdf","YSS2203","E1","AY2021-2","REMOTE"
"yncdf","YSS2203","E2","AY2021-2","REMOTE"
"yncecsy","YSS2211","E1A","AY2021-2","F2F"
"yncecsy","YSS2211","E2A","AY2021-2","F2F"
"T0000016608","YSS2211","E1B","AY2021-2","F2F"
"T0000016608","YSS2211","E2B","AY2021-2","F2F"
"yncdl","YSS2214","E1","AY2021-2","F2F"
"yncjz","YSS3203","E1","AY2021-2","F2F"
"T0000016930","YSS3204","E1","AY2021-2","F2F"
"yncdl","YSS3205","E1","AY2021-2","F2F"
"ynclwt","YSS3208","E1","AY2021-2","F2F"
"ecsgra","YSS3220","E1","AY2021-2","REMOTE"
"ynclwt","YSS3248","E1","AY2021-2","F2F"
"yncdej","YSS3264","E1","AY2021-2","F2F"
"ecskapur","YSS3299","E1","AY2021-2","F2F"
"T0000016931","YSS3306","E1","AY2021-2","F2F"
"T0000016608","YSS3307","E1","AY2021-2","F2F"
"yncpg","YSS3315","E1","AY2021-2","F2F"
"yncecsy","YSS4104","E1","AY2021-2","F2F"
"yncscmm","YHU2320","E1","AY2021-2","F2F"
"yncscmm","YHU3343","E1","AY2021-2","F2F"
"yncmmjf","YID1201","E1","AY2021-2","F2F"
"yncmvb","YID2212","E1","AY2021-2","F2F"
