"module_code","group_code","semester_code","weeks","day","start","end","location_code","teaching_mode"
"YCC1112","L1","AY2021-2","1-6, 8-14",2,"10:30","12:00","Y-CR15","F2F"
"YCC1112","L1","AY2021-2","1-6, 8-14",5,"10:30","12:00","Y-CR15","F2F"
"YCC1112","L2","AY2021-2","1-6, 8-14",2,"10:30","12:00","Y-CR17","F2F"
"YCC1112","L2","AY2021-2","1-6, 8-14",5,"10:30","12:00","Y-CR17","F2F"
"YCC1112","L3","AY2021-2","1-6, 8-14",2,"18:00","19:30","Y-CR17","F2F"
"YCC1112","L3","AY2021-2","1-6, 8-14",5,"18:00","19:30","Y-CR17","F2F"
"YCC1112","L4","AY2021-2","1-6, 8-14",2,"10:30","12:00","Y-GLRm1","F2F"
"YCC1112","L4","AY2021-2","1-6, 8-14",5,"10:30","12:00","Y-GLRm1","F2F"
"YCC1112","L5","AY2021-2","1-6, 8-14",2,"19:30","21:00","Y-CR15","F2F"
"YCC1112","L5","AY2021-2","1-6, 8-14",5,"19:30","21:00","Y-CR15","F2F"
"YCC1112","L6","AY2021-2","1-6, 8-14",2,"10:30","12:00","Y-CompLab","F2F"
"YCC1112","L6","AY2021-2","1-6, 8-14",5,"10:30","12:00","Y-CompLab","F2F"
"YCC1112","L7","AY2021-2","1-6, 8-14",2,"10:30","12:00",NA,"REMOTE"
"YCC1112","L7","AY2021-2","1-6, 8-14",5,"10:30","12:00",NA,"REMOTE"
"YCC1112","L8","AY2021-2","1-6, 8-14",2,"14:30","16:00","Y-ELMCL","F2F"
"YCC1112","L8","AY2021-2","1-6, 8-14",5,"14:30","16:00","Y-ELMCL","F2F"
"YCC1112","L9","AY2021-2","1-6, 8-14",2,"14:30","16:00","Y-CR15","F2F"
"YCC1112","L9","AY2021-2","1-6, 8-14",5,"14:30","16:00","Y-CR15","F2F"
"YCC1112","L10","AY2021-2","1-6, 8-14",2,"19:30","21:00","Y-CR17","F2F"
"YCC1112","L10","AY2021-2","1-6, 8-14",5,"19:30","21:00","Y-CR17","F2F"
"YCC1112","L11","AY2021-2","1-6, 8-14",2,"10:30","12:00","ERC-ALR","F2F"
"YCC1112","L11","AY2021-2","1-6, 8-14",5,"10:30","12:00","SRC-LT53","F2F"
"YCC1112","L12","AY2021-2","1-6, 8-14",2,"14:30","16:00","Y-CR17","F2F"
"YCC1112","L12","AY2021-2","1-6, 8-14",5,"14:30","16:00","Y-CR17","F2F"
"YCC1112","L13","AY2021-2","1-6, 8-14",2,"18:00","19:30","Y-ELMCL","F2F"
"YCC1112","L13","AY2021-2","1-6, 8-14",5,"18:00","19:30","Y-ELMCL","F2F"
"YCC1112","L14","AY2021-2","1-6, 8-14",2,"14:30","16:00","Y-LT1","F2F"
"YCC1112","L14","AY2021-2","1-6, 8-14",5,"14:30","16:00","Y-LT1","F2F"
"YCC1114","L1","AY2021-2","1-6, 8-14",1,"13:00","14:30","Y-ELMCL","F2F"
"YCC1114","L1","AY2021-2","1-6, 8-14",4,"13:00","14:30","Y-ELMCL","F2F"
"YCC1114","L2","AY2021-2","1-6, 8-14",1,"18:00","19:30","Y-CR15","F2F"
"YCC1114","L2","AY2021-2","1-6, 8-14",4,"18:00","19:30","Y-CR15","F2F"
"YCC1114","L3","AY2021-2","1-6, 8-14",1,"13:00","14:30","Y-GLRm1","F2F"
