"faculty_id","module_code","group_code","semester_code","teaching_mode"
"ynctpm","YCC1112","L1","AY2021-2","F2F"
"yncfclc","YCC1112","L2","AY2021-2","F2F"
"yncedj","YCC1112","L3","AY2021-2","F2F"
"yncbtc","YCC1112","L4","AY2021-2","F2F"
"yncgkd","YCC1112","L5","AY2021-2","F2F"
"yncbga","YCC1112","L6","AY2021-2","F2F"
"yncnjb","YCC1112","L7","AY2021-2","REMOTE"
"ynchayb","YCC1112","L8","AY2021-2","F2F"
"yncfclc","YCC1112","L9","AY2021-2","F2F"
"yncedj","YCC1112","L10","AY2021-2","F2F"
"yncbk","YCC1112","L11","AY2021-2","F2F"
"yncbtc","YCC1112","L12","AY2021-2","F2F"
"yncatlc","YCC1112","L13","AY2021-2","F2F"
"yncbk","YCC1112","L14","AY2021-2","F2F"
"","YCC1112","All sections","AY2021-2","REMOTE"
"yncbam","YCC1114","L1","AY2021-2","F2F"
"yncgbw","YCC1114","L2","AY2021-2","F2F"
"ynckoht","YCC1114","L3","AY2021-2","F2F"
"ynclcml","YCC1114","L4","AY2021-2","F2F"
"yncele","YCC1114","L5","AY2021-2","F2F"
"yncrz","YCC1114","L6","AY2021-2","F2F"
"T0000016927","YCC1114","L7","AY2021-2","F2F"
"yncbam","YCC1114","L8","AY2021-2","F2F"
"ynclcml","YCC1114","L9","AY2021-2","F2F"
"yncgbw","YCC1114","L10","AY2021-2","F2F"
"ynckmc","YCC1114","L11","AY2021-2","REMOTE"
"yncfsl","YCC1114","L12","AY2021-2","F2F"
"yncele","YCC1114","L13","AY2021-2","F2F"
"T0000016927","YCC1114","L14","AY2021-2","F2F"
"","YCC1114","All sections","AY2021-2","REMOTE"
"yncmvb","YCC1131","L1","AY2021-2","F2F"
"yncpohl","YCC1131","L2","AY2021-2","F2F"
"yncjpm","YCC1131","L3","AY2021-2","F2F"
"ynccn","YCC1131","L4","AY2021-2","F2F"
"yncsce","YCC1131","L5","AY2021-2","F2F"
"yncjg","YCC1131","L6","AY2021-2","REMOTE"
"yncccym","YCC1131","L7","AY2021-2","F2F"
"yncbjw","YCC1131","L8","AY2021-2","F2F"
"yncsam","YCC1131","L9","AY2021-2","F2F"
"yncjpm","YCC1131","L10","AY2021-2","F2F"
"yncsce","YCC1131","L11","AY2021-2","F2F"
"yncckh","YCC1131","L12","AY2021-2","F2F"
"yncpohl","YCC1131","L13","AY2021-2","F2F"
"","YCC1131","All sections","AY2021-2","REMOTE"
