"module_code","tag_label","semester_code"
"YCC1112","Common Curriculum","AY2021-2"
"YCC1114","Common Curriculum","AY2021-2"
"YCC1131","Common Curriculum","AY2021-2"
"YSS2227","Anthropology","AY2021-2"
"YSS3253","Anthropology","AY2021-2"
"YSS3268","Anthropology","AY2021-2"
"YSS3309","Anthropology","AY2021-2"
"YSS3320","Anthropology","AY2021-2"
"YSS4235","Anthropology","AY2021-2"
"YSS4250","Anthropology","AY2021-2"
"YSS4261","Anthropology","AY2021-2"
"YHU2203","Arts and Humanities","AY2021-2"
"YHU2222","Arts and Humanities","AY2021-2"
"YHU2223","Arts and Humanities","AY2021-2"
"YHU2291","Arts and Humanities","AY2021-2"
"YHU2300","Arts and Humanities","AY2021-2"
"YHU2310","Arts and Humanities","AY2021-2"
"YHU3288","Arts and Humanities","AY2021-2"
"YHU3292","Arts and Humanities","AY2021-2"
"YHU3341","Arts and Humanities","AY2021-2"
"YHU3342","Arts and Humanities","AY2021-2"
"YHU3344","Arts and Humanities","AY2021-2"
"YHU3347","Arts and Humanities","AY2021-2"
"YHU4104","Arts and Humanities","AY2021-2"
"YHU4214","Arts and Humanities","AY2021-2"
"YHU4215","Arts and Humanities","AY2021-2"
"YHU4216","Arts and Humanities","AY2021-2"
"YHU4243","Arts and Humanities","AY2021-2"
"YHU4251","Arts and Humanities","AY2021-2"
"YSS1203","Economics","AY2021-2"
"YSS1205","Economics","AY2021-2"
"YSS2203","Economics","AY2021-2"
"YSS2211","Economics","AY2021-2"
"YSS2214","Economics","AY2021-2"
"YSS3203","Economics","AY2021-2"
"YSS3204","Economics","AY2021-2"
"YSS3205","Economics","AY2021-2"
"YSS3208","Economics","AY2021-2"
"YSS3220","Economics","AY2021-2"
"YSS3248","Economics","AY2021-2"
"YSS3264","Economics","AY2021-2"
"YSS3299","Economics","AY2021-2"
"YSS3306","Economics","AY2021-2"
"YSS3307","Economics","AY2021-2"
"YSS3315","Economics","AY2021-2"
"YSS4104","Economics","AY2021-2"
"YHU2320","Environmental Studies","AY2021-2"
"YHU3343","Environmental Studies","AY2021-2"
"YID1201","Environmental Studies","AY2021-2"
"YID2212","Environmental Studies","AY2021-2"
"YID2213","Environmental Studies","AY2021-2"
"YID3202F","Environmental Studies","AY2021-2"
"YID4101","Environmental Studies","AY2021-2"
"YSC2253","Environmental Studies","AY2021-2"
"YSS3311","Environmental Studies","AY2021-2"
"YSS3312","Environmental Studies","AY2021-2"
"YSS3313","Environmental Studies","AY2021-2"
"YSS2202","Global Affairs","AY2021-2"
