"title","module_code","semester_code"
"Literature and Humanities 1","YCC1111","AY2021-1"
"Philosophy and  Political Thought 1","YCC1113","AY2021-1"
"Comparative Social Inquiry","YCC1121","AY2021-1"
"Quantitative Reasoning","YCC1122","AY2021-1"
"Modern Social Thought","YCC2121","AY2021-1"
"Scientific Inquiry 2","YCC2137","AY2021-1"
"Religion, Ritual and Magic","YSS2223","AY2021-1"
"Ethnography","YSS3202","AY2021-1"
"The Anthropological Imagination","YSS3277","AY2021-1"
"Anthropology Capstone Project","YSS4103","AY2021-1"
"Medical Anthropology","YSS4236","AY2021-1"
"Introduction to Creative Nonfiction","YHU2202","AY2021-1"
"Integrative Music Theory 1","YHU2205","AY2021-1"
"Drawing Methods","YHU2215","AY2021-1"
"Visual Storytelling","YHU2248","AY2021-1"
"Introduction to Writing Poetry","YHU2292","AY2021-1"
"Introduction to Fiction Writing","YHU2293","AY2021-1"
"Photojournalism","YHU3216","AY2021-1"
"Forms of Nonfiction: Literary Journalism from Print to Sound","YHU3217","AY2021-1"
"Arts and Humanities Capstone Project","YHU4104","AY2021-1"
"The Female Image in Japanese Art and Literature","YHU4238","AY2021-1"
"Crime and Punishment","YSS3232","AY2021-1"
"Conducting Qualitative Socio-legal Research","YSS4248","AY2021-1"
"Principles of Economics","YSS1203","AY2021-1"
"Intermediate Microeconomics","YSS2203","AY2021-1"
"Econometrics","YSS2211","AY2021-1"
"Intermediate Macroeconomics","YSS2214","AY2021-1"
"Investment Analysis and Economics","YSS2233","AY2021-1"
"The Good Company","YSS2234","AY2021-1"
"International Finance","YSS3224","AY2021-1"
"Advanced Macroeconomics","YSS3248","AY2021-1"
"Economics Capstone Project","YSS4104","AY2021-1"
"Asset Pricing, Financial Markets and Behavioral Finance","YSS4258","AY2021-1"
"The Economics of Climate Change","YSS4259","AY2021-1"
"The Economics of Inequality","YSS4260","AY2021-1"
"Introduction to Environmental Studies","YID1201","AY2021-1"
"Social Theory and the Environment","YID2207","AY2021-1"
"Foundations of Environmental Humanities","YID2208","AY2021-1"
"Special Topics: Planetary Health","YID3202G","AY2021-1"
"Ecological Economics","YID3211","AY2021-1"
"Environment, Development and Mobilisation in Asia","YID3216","AY2021-1"
"Singapore Biodiversity: Past, Present, and Future","YID3218","AY2021-1"
"The Ethics and Politics of Reproduction in the Age of Climate Change","YID3220","AY2021-1"
"Wildlife Forensics and the Shark Fin Trade","YID3221","AY2021-1"
"Environmental Studies Capstone Project","YID4101","AY2021-1"
"Data Science for the Environment","YSS2242","AY2021-1"
"International Relations","YSS2202","AY2021-1"
