"faculty_id","module_code","group_code","semester_code","teaching_mode"
"yncgsj","YCC1111","L1","AY2021-1","REMOTE"
"yncgkd","YCC1111","L2","AY2021-1","F2F"
"T0000016262","YCC1111","L3","AY2021-1","F2F"
"yncbga","YCC1111","L4","AY2021-1","REMOTE"
"ynchayb","YCC1111","L5","AY2021-1","F2F"
"yncsjm","YCC1111","L6","AY2021-1","F2F"
"ynceck","YCC1111","L7","AY2021-1","F2F"
"yncgsj","YCC1111","L8","AY2021-1","F2F"
"yncgkd","YCC1111","L9","AY2021-1","F2F"
"T0000016262","YCC1111","L10","AY2021-1","F2F"
"yncnb","YCC1111","L11","AY2021-1","F2F"
"ynctir","YCC1111","L12","AY2021-1","F2F"
"yncpatke","YCC1111","L13","AY2021-1","F2F"
"ynchayb","YCC1111","L14","AY2021-1","F2F"
"yncwmd","YCC1113","L1","AY2021-1","REMOTE"
"yncmnj","YCC1113","L2","AY2021-1","F2F"
"ynccwce","YCC1113","L3","AY2021-1","F2F"
"ynclcml","YCC1113","L4","AY2021-1","F2F"
"ynccsb","YCC1113","L5","AY2021-1","F2F"
"yncele","YCC1113","L6","AY2021-1","F2F"
"yncgbw","YCC1113","L7","AY2021-1","F2F"
"yncwmd","YCC1113","L8","AY2021-1","REMOTE"
"yncmnj","YCC1113","L9","AY2021-1","F2F"
"ynclcml","YCC1113","L10","AY2021-1","F2F"
"ynckoht","YCC1113","L11","AY2021-1","F2F"
"yncgbw","YCC1113","L12","AY2021-1","F2F"
"ynccsb","YCC1113","L13","AY2021-1","F2F"
"yncele","YCC1113","L14","AY2021-1","F2F"
"yncjds","YCC1121","L1","AY2021-1","F2F"
"yncmm","YCC1121","L2","AY2021-1","F2F"
"yncmad","YCC1121","L3","AY2021-1","F2F"
"ynczc","YCC1121","L5","AY2021-1","F2F"
"yncpvk","YCC1121","L6","AY2021-1","F2F"
"yncpvk","YCC1121","L8","AY2021-1","F2F"
"yncmm","YCC1121","L9","AY2021-1","F2F"
"ynccass","YCC1121","L10","AY2021-1","F2F"
"ynczc","YCC1121","L12","AY2021-1","F2F"
"yncjds","YCC1121","L13","AY2021-1","F2F"
"yncleiy","YCC1122","L1","AY2021-1","F2F"
"yncosm","YCC1122","L2","AY2021-1","F2F"
"ynccla","YCC1122","L3","AY2021-1","F2F"
"yncsda","YCC1122","L4","AY2021-1","REMOTE"
"yncha","YCC1122","L5","AY2021-1","F2F"
"yncwtml","YCC1122","L6","AY2021-1","F2F"
"ynchad","YCC1122","L7","AY2021-1","F2F"
"yncleiy","YCC1122","L8","AY2021-1","F2F"
"yncosm","YCC1122","L9","AY2021-1","F2F"
"ynccla","YCC1122","L10","AY2021-1","F2F"
"yncmvb","YCC1122","L11","AY2021-1","F2F"
"yncgmt","YCC1122","L12","AY2021-1","F2F"
"yncwtml","YCC1122","L13","AY2021-1","F2F"
"ynchad","YCC1122","L14","AY2021-1","F2F"
"ynchzm","YCC2121","L1","AY2021-1","F2F"
"yncrm","YCC2121","L2","AY2021-1","F2F"
"ynctch","YCC2121","L3","AY2021-1","REMOTE"
"yncvcr","YCC2121","L4","AY2021-1","F2F"
"ynccjad","YCC2121","L5","AY2021-1","F2F"
"yncdw","YCC2121","L6","AY2021-1","F2F"
"yncfsl","YCC2121","L7","AY2021-1","F2F"
"ynccjad","YCC2121","L8","AY2021-1","F2F"
"yncrm","YCC2121","L9","AY2021-1","F2F"
"ynctch","YCC2121","L10","AY2021-1","REMOTE"
"ynchzm","YCC2121","L11","AY2021-1","F2F"
"yncvcr","YCC2121","L12","AY2021-1","F2F"
"yncdw","YCC2121","L13","AY2021-1","F2F"
"yncckh","YCC2137","L1","AY2021-1","F2F"
"yncccym","YCC2137","L2","AY2021-1","F2F"
"yncoba","YCC2137","L3","AY2021-1","F2F"
"yncoba","YCC2137","L4","AY2021-1","REMOTE"
"yncpohl","YCC2137","L5","AY2021-1","F2F"
"yncalr","YCC2137","L6","AY2021-1","F2F"
"yncmabg","YCC2137","L7","AY2021-1","F2F"
"yncckh","YCC2137","L8","AY2021-1","F2F"
"yncsce","YCC2137","L9","AY2021-1","F2F"
"yncccym","YCC2137","L10","AY2021-1","REMOTE"
"yncpohl","YCC2137","L11","AY2021-1","F2F"
"ynctje","YCC2137","L12","AY2021-1","F2F"
"ynctje","YCC2137","L13","AY2021-1","REMOTE"
"ynczb","YCC2137","L14","AY2021-1","F2F"
"yncsse","YSS2223","E1","AY2021-1","F2F"
"yncsse","YSS3202","E1","AY2021-1","F2F"
