"module_code","group_code","semester_code","weeks","day","start","end","location_code","area"
"YCC1111","L1","AY2021-1","1-6, 8-14",2,"9:00","10:30",NA,NA
"YCC1111","L1","AY2021-1","1-6, 8-14",5,"13:00","14:30",NA,NA
"YCC1111","L2","AY2021-1","1-6, 8-14",2,"9:00","10:30","Y-CR15","YNC"
"YCC1111","L2","AY2021-1","1-6, 8-14",5,"13:00","14:30","Y-CR15","YNC"
"YCC1111","L3","AY2021-1","1-6, 8-14",2,"18:00","19:30","Y-CR15","YNC"
"YCC1111","L3","AY2021-1","1-6, 8-14",5,"18:00","19:30","Y-CR15","YNC"
"YCC1111","L4","AY2021-1","1-6, 8-14",2,"9:00","10:30",NA,NA
"YCC1111","L4","AY2021-1","1-6, 8-14",5,"13:00","14:30",NA,NA
"YCC1111","L5","AY2021-1","1-6, 8-14",2,"19:30","21:00","Y-TCTLT","YNC"
"YCC1111","L5","AY2021-1","1-6, 8-14",5,"19:30","21:00","Y-TCTLT","YNC"
"YCC1111","L6","AY2021-1","1-6, 8-14",2,"9:00","10:30","Y-CR17","YNC"
"YCC1111","L6","AY2021-1","1-6, 8-14",5,"13:00","14:30","Y-CR17","YNC"
"YCC1111","L7","AY2021-1","1-6, 8-14",2,"9:00","10:30","Y-GLRm1","YNC"
"YCC1111","L7","AY2021-1","1-6, 8-14",6,"9:00","10:30","Y-GLRm1","YNC"
"YCC1111","L8","AY2021-1","1-6, 8-14",2,"19:30","21:00","Y-CR15","YNC"
"YCC1111","L8","AY2021-1","1-6, 8-14",5,"19:30","21:00","Y-CR15","YNC"
"YCC1111","L9","AY2021-1","1-6, 8-14",2,"14:30","16:00","Y-CR15","YNC"
"YCC1111","L9","AY2021-1","1-6, 8-14",5,"14:30","16:00","Y-CR15","YNC"
"YCC1111","L10","AY2021-1","1-6, 8-14",2,"19:30","21:00","Y-CR17","YNC"
"YCC1111","L10","AY2021-1","1-6, 8-14",5,"19:30","21:00","Y-CR17","YNC"
"YCC1111","L11","AY2021-1","1-6, 8-14",2,"14:30","16:00","UTSRC-GLR","UTown"
"YCC1111","L11","AY2021-1","1-6, 8-14",6,"14:30","16:00","Y-CR15","YNC"
"YCC1111","L12","AY2021-1","1-6, 8-14",2,"19:30","21:00","Y-GLRm1","YNC"
"YCC1111","L12","AY2021-1","1-6, 8-14",5,"19:30","21:00","Y-GLRm1","YNC"
"YCC1111","L13","AY2021-1","1-6, 8-14",2,"14:30","16:00","Y-CR17","YNC"
"YCC1111","L13","AY2021-1","1-6, 8-14",5,"14:30","16:00","Y-CR17","YNC"
"YCC1111","L14","AY2021-1","1-6, 8-14",2,"14:30","16:00","Y-GLRm1","YNC"
"YCC1111","L14","AY2021-1","1-6, 8-14",5,"14:30","16:00","UT-AUD03","UTown"
"YCC1113","L1","AY2021-1","1-6, 8-14",1,"10:30","12:00",NA,NA
"YCC1113","L1","AY2021-1","1-6, 8-14",4,"10:30","12:00",NA,NA
"YCC1113","L2","AY2021-1","1-6, 8-14",1,"10:30","12:00","UTERC-ALR","UTown"
"YCC1113","L2","AY2021-1","1-6, 8-14",4,"10:30","12:00","UTERC-ALR","UTown"
"YCC1113","L3","AY2021-1","1-6, 8-14",1,"10:30","12:00","Y-LT1","YNC"
"YCC1113","L3","AY2021-1","1-6, 8-14",4,"10:30","12:00","UTSRC-LT51","UTown"
"YCC1113","L4","AY2021-1","1-6, 8-14",1,"10:30","12:00","UTERC-NAK AUD","UTown"
"YCC1113","L4","AY2021-1","1-6, 8-14",4,"10:30","12:00","UTERC-NAK AUD","UTown"
"YCC1113","L5","AY2021-1","1-6, 8-14",1,"10:30","12:00","Y-GLRm1","YNC"
"YCC1113","L5","AY2021-1","1-6, 8-14",4,"10:30","12:00","Y-GLRm1","YNC"
"YCC1113","L6","AY2021-1","1-6, 8-14",1,"19:30","21:00","Y-RC2SC","YNC"
"YCC1113","L6","AY2021-1","1-6, 8-14",4,"19:30","21:00","Y-RC2SC","YNC"
"YCC1113","L7","AY2021-1","1-6, 8-14",1,"19:30","21:00","Y-CompLab","YNC"
"YCC1113","L7","AY2021-1","1-6, 8-14",4,"19:30","21:00","Y-CompLab","YNC"
"YCC1113","L8","AY2021-1","1-6, 8-14",1,"14:30","16:00",NA,NA
"YCC1113","L8","AY2021-1","1-6, 8-14",4,"14:30","16:00",NA,NA
