module_code,group_code,semester_code,week,date,start,end,location_code,teaching_mode
YCC1111,CC,AY2021-1,1,14/8/2020,9:30,10:30,NA,REMOTE
YCC1111,CC,AY2021-1,2,21/8/2020,9:30,10:30,NA,REMOTE
YCC1111,CC,AY2021-1,3,28/8/2020,9:30,10:30,NA,REMOTE
YCC1111,CC,AY2021-1,4,4/9/2020,9:30,10:30,NA,REMOTE
YCC1111,CC,AY2021-1,5,11/9/2020,9:30,10:30,NA,REMOTE
YCC1111,CC,AY2021-1,6,18/9/2020,9:30,10:30,NA,REMOTE
YCC1111,CC,AY2021-1,8,2/10/2020,9:30,10:30,NA,REMOTE
YCC1111,CC,AY2021-1,9,9/10/2020,9:30,10:30,NA,REMOTE
YCC1111,CC,AY2021-1,10,16/10/2020,9:30,10:30,NA,REMOTE
YCC1111,CC,AY2021-1,11,23/10/2020,9:30,10:30,NA,REMOTE
YCC1111,CC,AY2021-1,12,30/10/2020,9:30,10:30,NA,REMOTE
YCC1111,CC,AY2021-1,13,6/11/2020,9:30,10:30,NA,REMOTE
YCC1111,CC,AY2021-1,14,13/11/2020,9:30,10:30,NA,REMOTE
YCC1113,CC,AY2021-1,1,10/8/2020,9:30,10:30,NA,REMOTE
YCC1113,CC,AY2021-1,2,17/8/2020,9:30,10:30,NA,REMOTE
YCC1113,CC,AY2021-1,3,24/8/2020,9:30,10:30,NA,REMOTE
YCC1113,CC,AY2021-1,4,31/8/2020,9:30,10:30,NA,REMOTE
YCC1113,CC,AY2021-1,5,7/9/2020,9:30,10:30,NA,REMOTE
YCC1113,CC,AY2021-1,6,14/9/2020,9:30,10:30,NA,REMOTE
YCC1113,CC,AY2021-1,8,28/9/2020,9:30,10:30,NA,REMOTE
YCC1113,CC,AY2021-1,9,5/10/2020,9:30,10:30,NA,REMOTE
YCC1113,CC,AY2021-1,10,12/10/2020,9:30,10:30,NA,REMOTE
YCC1113,CC,AY2021-1,11,19/10/2020,9:30,10:30,NA,REMOTE
YCC1113,CC,AY2021-1,12,26/10/2020,9:30,10:30,NA,REMOTE
YCC1113,CC,AY2021-1,13,2/11/2020,9:30,10:30,NA,REMOTE
YCC1113,CC,AY2021-1,14,9/11/2020,9:30,10:30,NA,REMOTE
YCC1121,CC,AY2021-1,1,11/8/2020,13:00,14:00,NA,REMOTE
YCC1121,CC,AY2021-1,2,18/8/2020,13:00,14:00,NA,REMOTE
YCC1121,CC,AY2021-1,3,25/8/2020,13:00,14:00,NA,REMOTE
YCC1121,CC,AY2021-1,4,1/9/2020,13:00,14:00,NA,REMOTE
YCC1121,CC,AY2021-1,5,8/9/2020,13:00,14:00,NA,REMOTE
YCC1121,CC,AY2021-1,6,15/9/2020,13:00,14:00,NA,REMOTE
YCC1121,CC,AY2021-1,8,29/9/2020,13:00,14:00,NA,REMOTE
YCC1121,CC,AY2021-1,9,6/10/2020,13:00,14:00,NA,REMOTE
YCC1121,CC,AY2021-1,10,13/10/2020,13:00,14:00,NA,REMOTE
YCC1121,CC,AY2021-1,11,20/10/2020,13:00,14:00,NA,REMOTE
YCC1121,CC,AY2021-1,12,27/10/2020,13:00,14:00,NA,REMOTE
YCC1121,CC,AY2021-1,13,3/11/2020,13:00,14:00,NA,REMOTE
YCC1121,CC,AY2021-1,14,10/11/2020,13:00,14:00,NA,REMOTE
YCC2121,CC,AY2021-1,1,12/8/2020,9:30,10:30,NA,REMOTE
YCC2121,CC,AY2021-1,2,19/8/2020,9:30,10:30,NA,REMOTE
YCC2121,CC,AY2021-1,3,26/8/2020,9:30,10:30,NA,REMOTE
YCC2121,CC,AY2021-1,4,2/9/2020,9:30,10:30,NA,REMOTE
YCC2121,CC,AY2021-1,5,9/9/2020,9:30,10:30,NA,REMOTE
YCC2121,CC,AY2021-1,6,16/9/2020,9:30,10:30,NA,REMOTE
YCC2121,CC,AY2021-1,8,30/9/2020,9:30,10:30,NA,REMOTE
YCC2121,CC,AY2021-1,9,7/10/2020,9:30,10:30,NA,REMOTE
YCC2121,CC,AY2021-1,10,14/10/2020,9:30,10:30,NA,REMOTE
YCC2121,CC,AY2021-1,11,21/10/2020,9:30,10:30,NA,REMOTE
YCC2121,CC,AY2021-1,12,28/10/2020,9:30,10:30,NA,REMOTE
YCC2121,CC,AY2021-1,13,4/11/2020,9:30,10:30,NA,REMOTE
YCC2121,CC,AY2021-1,14,11/11/2020,9:30,10:30,NA,REMOTE
YCC2137,CC,AY2021-1,1,10/8/2020,11:00,12:00,NA,REMOTE
YCC2137,CC,AY2021-1,2,17/8/2020,11:00,12:00,NA,REMOTE
YCC2137,CC,AY2021-1,3,24/8/2020,11:00,12:00,NA,REMOTE
YCC2137,CC,AY2021-1,4,31/8/2020,11:00,12:00,NA,REMOTE
YCC2137,CC,AY2021-1,5,7/9/2020,11:00,12:00,NA,REMOTE
YCC2137,CC,AY2021-1,6,14/9/2020,11:00,12:00,NA,REMOTE
YCC2137,CC,AY2021-1,8,28/9/2020,11:00,12:00,NA,REMOTE
YCC2137,CC,AY2021-1,9,5/10/2020,11:00,12:00,NA,REMOTE
YCC2137,CC,AY2021-1,10,12/10/2020,11:00,12:00,NA,REMOTE
YCC2137,CC,AY2021-1,11,19/10/2020,11:00,12:00,NA,REMOTE
YCC2137,CC,AY2021-1,12,26/10/2020,11:00,12:00,NA,REMOTE
YCC2137,CC,AY2021-1,13,2/11/2020,11:00,12:00,NA,REMOTE
YCC2137,CC,AY2021-1,14,9/11/2020,11:00,12:00,NA,REMOTE
