"module_code","group_code","semester_code","week","date","start","end","location_code","area"
"YCC1111","L1","AY2021-1",1,2020-08-11,"9:00","10:30",NA,NA
"YCC1111","L1","AY2021-1",2,2020-08-18,"9:00","10:30",NA,NA
"YCC1111","L1","AY2021-1",3,2020-08-25,"9:00","10:30",NA,NA
"YCC1111","L1","AY2021-1",4,2020-09-01,"9:00","10:30",NA,NA
"YCC1111","L1","AY2021-1",5,2020-09-08,"9:00","10:30",NA,NA
"YCC1111","L1","AY2021-1",6,2020-09-15,"9:00","10:30",NA,NA
"YCC1111","L1","AY2021-1",8,2020-09-29,"9:00","10:30",NA,NA
"YCC1111","L1","AY2021-1",9,2020-10-06,"9:00","10:30",NA,NA
"YCC1111","L1","AY2021-1",10,2020-10-13,"9:00","10:30",NA,NA
"YCC1111","L1","AY2021-1",11,2020-10-20,"9:00","10:30",NA,NA
"YCC1111","L1","AY2021-1",12,2020-10-27,"9:00","10:30",NA,NA
"YCC1111","L1","AY2021-1",13,2020-11-03,"9:00","10:30",NA,NA
"YCC1111","L1","AY2021-1",14,2020-11-10,"9:00","10:30",NA,NA
"YCC1111","L1","AY2021-1",1,2020-08-14,"13:00","14:30",NA,NA
"YCC1111","L1","AY2021-1",2,2020-08-21,"13:00","14:30",NA,NA
"YCC1111","L1","AY2021-1",3,2020-08-28,"13:00","14:30",NA,NA
"YCC1111","L1","AY2021-1",4,2020-09-04,"13:00","14:30",NA,NA
"YCC1111","L1","AY2021-1",5,2020-09-11,"13:00","14:30",NA,NA
"YCC1111","L1","AY2021-1",6,2020-09-18,"13:00","14:30",NA,NA
"YCC1111","L1","AY2021-1",8,2020-10-02,"13:00","14:30",NA,NA
"YCC1111","L1","AY2021-1",9,2020-10-09,"13:00","14:30",NA,NA
"YCC1111","L1","AY2021-1",10,2020-10-16,"13:00","14:30",NA,NA
"YCC1111","L1","AY2021-1",11,2020-10-23,"13:00","14:30",NA,NA
"YCC1111","L1","AY2021-1",12,2020-10-30,"13:00","14:30",NA,NA
"YCC1111","L1","AY2021-1",13,2020-11-06,"13:00","14:30",NA,NA
"YCC1111","L1","AY2021-1",14,2020-11-13,"13:00","14:30",NA,NA
"YCC1111","L2","AY2021-1",1,2020-08-11,"9:00","10:30","Y-CR15","YNC"
"YCC1111","L2","AY2021-1",2,2020-08-18,"9:00","10:30","Y-CR15","YNC"
"YCC1111","L2","AY2021-1",3,2020-08-25,"9:00","10:30","Y-CR15","YNC"
"YCC1111","L2","AY2021-1",4,2020-09-01,"9:00","10:30","Y-CR15","YNC"
"YCC1111","L2","AY2021-1",5,2020-09-08,"9:00","10:30","Y-CR15","YNC"
"YCC1111","L2","AY2021-1",6,2020-09-15,"9:00","10:30","Y-CR15","YNC"
"YCC1111","L2","AY2021-1",8,2020-09-29,"9:00","10:30","Y-CR15","YNC"
"YCC1111","L2","AY2021-1",9,2020-10-06,"9:00","10:30","Y-CR15","YNC"
"YCC1111","L2","AY2021-1",10,2020-10-13,"9:00","10:30","Y-CR15","YNC"
"YCC1111","L2","AY2021-1",11,2020-10-20,"9:00","10:30","Y-CR15","YNC"
"YCC1111","L2","AY2021-1",12,2020-10-27,"9:00","10:30","Y-CR15","YNC"
"YCC1111","L2","AY2021-1",13,2020-11-03,"9:00","10:30","Y-CR15","YNC"
"YCC1111","L2","AY2021-1",14,2020-11-10,"9:00","10:30","Y-CR15","YNC"
"YCC1111","L2","AY2021-1",1,2020-08-14,"13:00","14:30","Y-CR15","YNC"
"YCC1111","L2","AY2021-1",2,2020-08-21,"13:00","14:30","Y-CR15","YNC"
"YCC1111","L2","AY2021-1",3,2020-08-28,"13:00","14:30","Y-CR15","YNC"
"YCC1111","L2","AY2021-1",4,2020-09-04,"13:00","14:30","Y-CR15","YNC"
"YCC1111","L2","AY2021-1",5,2020-09-11,"13:00","14:30","Y-CR15","YNC"
"YCC1111","L2","AY2021-1",6,2020-09-18,"13:00","14:30","Y-CR15","YNC"
"YCC1111","L2","AY2021-1",8,2020-10-02,"13:00","14:30","Y-CR15","YNC"
"YCC1111","L2","AY2021-1",9,2020-10-09,"13:00","14:30","Y-CR15","YNC"
"YCC1111","L2","AY2021-1",10,2020-10-16,"13:00","14:30","Y-CR15","YNC"
"YCC1111","L2","AY2021-1",11,2020-10-23,"13:00","14:30","Y-CR15","YNC"
"YCC1111","L2","AY2021-1",12,2020-10-30,"13:00","14:30","Y-CR15","YNC"
"YCC1111","L2","AY2021-1",13,2020-11-06,"13:00","14:30","Y-CR15","YNC"
"YCC1111","L2","AY2021-1",14,2020-11-13,"13:00","14:30","Y-CR15","YNC"
"YCC1111","L3","AY2021-1",1,2020-08-11,"18:00","19:30","Y-CR15","YNC"
"YCC1111","L3","AY2021-1",2,2020-08-18,"18:00","19:30","Y-CR15","YNC"
"YCC1111","L3","AY2021-1",3,2020-08-25,"18:00","19:30","Y-CR15","YNC"
"YCC1111","L3","AY2021-1",4,2020-09-01,"18:00","19:30","Y-CR15","YNC"
"YCC1111","L3","AY2021-1",5,2020-09-08,"18:00","19:30","Y-CR15","YNC"
"YCC1111","L3","AY2021-1",6,2020-09-15,"18:00","19:30","Y-CR15","YNC"
"YCC1111","L3","AY2021-1",8,2020-09-29,"18:00","19:30","Y-CR15","YNC"
"YCC1111","L3","AY2021-1",9,2020-10-06,"18:00","19:30","Y-CR15","YNC"
"YCC1111","L3","AY2021-1",10,2020-10-13,"18:00","19:30","Y-CR15","YNC"
"YCC1111","L3","AY2021-1",11,2020-10-20,"18:00","19:30","Y-CR15","YNC"
"YCC1111","L3","AY2021-1",12,2020-10-27,"18:00","19:30","Y-CR15","YNC"
"YCC1111","L3","AY2021-1",13,2020-11-03,"18:00","19:30","Y-CR15","YNC"
"YCC1111","L3","AY2021-1",14,2020-11-10,"18:00","19:30","Y-CR15","YNC"
"YCC1111","L3","AY2021-1",1,2020-08-14,"18:00","19:30","Y-CR15","YNC"
"YCC1111","L3","AY2021-1",2,2020-08-21,"18:00","19:30","Y-CR15","YNC"
"YCC1111","L3","AY2021-1",3,2020-08-28,"18:00","19:30","Y-CR15","YNC"
"YCC1111","L3","AY2021-1",4,2020-09-04,"18:00","19:30","Y-CR15","YNC"
"YCC1111","L3","AY2021-1",5,2020-09-11,"18:00","19:30","Y-CR15","YNC"
"YCC1111","L3","AY2021-1",6,2020-09-18,"18:00","19:30","Y-CR15","YNC"
"YCC1111","L3","AY2021-1",8,2020-10-02,"18:00","19:30","Y-CR15","YNC"
"YCC1111","L3","AY2021-1",9,2020-10-09,"18:00","19:30","Y-CR15","YNC"
"YCC1111","L3","AY2021-1",10,2020-10-16,"18:00","19:30","Y-CR15","YNC"
"YCC1111","L3","AY2021-1",11,2020-10-23,"18:00","19:30","Y-CR15","YNC"
"YCC1111","L3","AY2021-1",12,2020-10-30,"18:00","19:30","Y-CR15","YNC"
