"module_code","tag_label","semester_code"
"YCC1111","Common Curriculum","AY2021-1"
"YCC1113","Common Curriculum","AY2021-1"
"YCC1121","Common Curriculum","AY2021-1"
"YCC1122","Common Curriculum","AY2021-1"
"YCC2121","Common Curriculum","AY2021-1"
"YCC2137","Common Curriculum","AY2021-1"
"YSS2223","Anthropology","AY2021-1"
"YSS3202","Anthropology","AY2021-1"
"YSS3277","Anthropology","AY2021-1"
"YSS4103","Anthropology","AY2021-1"
"YSS4236","Anthropology","AY2021-1"
"YHU2202","Arts and Humanities","AY2021-1"
"YHU2205","Arts and Humanities","AY2021-1"
"YHU2215","Arts and Humanities","AY2021-1"
"YHU2248","Arts and Humanities","AY2021-1"
"YHU2292","Arts and Humanities","AY2021-1"
"YHU2293","Arts and Humanities","AY2021-1"
"YHU3216","Arts and Humanities","AY2021-1"
"YHU3217","Arts and Humanities","AY2021-1"
"YHU4104","Arts and Humanities","AY2021-1"
"YHU4238","Arts and Humanities","AY2021-1"
"YSS3232","Combined Law-Liberal Arts","AY2021-1"
"YSS4248","Combined Law-Liberal Arts","AY2021-1"
"YSS1203","Economics","AY2021-1"
"YSS2203","Economics","AY2021-1"
"YSS2211","Economics","AY2021-1"
"YSS2214","Economics","AY2021-1"
"YSS2233","Economics","AY2021-1"
"YSS2234","Economics","AY2021-1"
"YSS3224","Economics","AY2021-1"
"YSS3248","Economics","AY2021-1"
"YSS4104","Economics","AY2021-1"
"YSS4258","Economics","AY2021-1"
"YSS4259","Economics","AY2021-1"
"YSS4260","Economics","AY2021-1"
"YID1201","Environmental Studies","AY2021-1"
"YID2207","Environmental Studies","AY2021-1"
"YID2208","Environmental Studies","AY2021-1"
"YID3202G","Environmental Studies","AY2021-1"
"YID3211","Environmental Studies","AY2021-1"
"YID3216","Environmental Studies","AY2021-1"
"YID3218","Environmental Studies","AY2021-1"
"YID3220","Environmental Studies","AY2021-1"
"YID3221","Environmental Studies","AY2021-1"
"YID4101","Environmental Studies","AY2021-1"
"YSS2242","Environmental Studies","AY2021-1"
"YSS2202","Global Affairs","AY2021-1"
"YSS3201","Global Affairs","AY2021-1"
"YSS3254","Global Affairs","AY2021-1"
"YSS3255","Global Affairs","AY2021-1"
"YSS4101","Global Affairs","AY2021-1"
"YSS4205","Global Affairs","AY2021-1"
"YSS4223","Global Affairs","AY2021-1"
"YHU3221","Historical Immersion","AY2021-1"
"YHU3243","Historical Immersion","AY2021-1"
"YHU3254","Historical Immersion","AY2021-1"
"YHU3274","Historical Immersion","AY2021-1"
"YHU3286","Historical Immersion","AY2021-1"
"YHU3314","Historical Immersion","AY2021-1"
"YHU3317","Historical Immersion","AY2021-1"
"YHU3330","Historical Immersion","AY2021-1"
"YHU3334","Historical Immersion","AY2021-1"
"YID3219","Historical Immersion","AY2021-1"
"YSC3247","Historical Immersion","AY2021-1"
"YHU2290","History","AY2021-1"
"YHU2307","History","AY2021-1"
"YHU2314","History","AY2021-1"
"YHU2318","History","AY2021-1"
"YHU3268","History","AY2021-1"
"YHU3276","History","AY2021-1"
