Module Code,Module Title,Major Tag,Major Tag 2,Major Tag 3,Major Tag 4,Tag 1,Tag 2,Description
YCC1111,Literature and Humanities 1,Common Curriculum,,,,,,This is the first semester of a two semester sequence on literature and humanities. The sequence explores literature and other arts from cultures around the world throughout history. Special attention is paid to developing skills in written and oral expression.
YCC1113,Philosophy and  Political Thought 1,Common Curriculum,,,,,,This is the first module of a two semester sequence exploring philosophy and political thought. Texts and ideas from many times and many cultures around the world will be explored. Special attention is given to developing skills of oral and written expression.
YCC1121,Comparative Social Inquiry,Common Curriculum,,,,,,"This module explores a range of social institutions from the perspective of a variety of disciplines in the social sciences. Quantitative and qualitative methods are explored, with examples chosen from societies around the world."
YCC1122,Quantitative Reasoning,Common Curriculum,,,,,,"This module explores a range of quantitative methods in a manner accessible to all students regardless of level of preparation. Examples are generally chosen from the social sciences, but the methods themselves are applicable to a wide range of topics. Special attention is paid to helping students develop their skills in presenting and analysing quantitative information."
YCC2121,Modern Social Thought,Common Curriculum,,,,,,This module will introduce students to foundational figures of modern social thought and explore the ways in which their writings have been taken up in contemporary social analysis and political practice in different parts of the world.
YCC2137,Scientific Inquiry 2,Common Curriculum,,,,,,"Building upon SI1 and QR, SI2 develops deeper understanding and application of scientific modes of inquiry by tackling a topical question in science, e.g. climate change, origins of our universe, artificial intelligence, etc. The semester focuses on a single central question. Students explore related issues in breadth and depth: Breadth from a general introduction to the central question; depth from six weeks on one aspect of their choice. The course ends with a synthesis segment, where students work in teams to put together various elements learned, much as scientific teams today assimilate multi-faceted evidence and solutions to address current problems."
YHU2291,Introduction to the Arts,Arts and Humanities,,,,Intro Class,Major Requirement,"Students in the Art and Humanities major must take Introduction to the Arts. The course will give students the opportunity to engage with arts practice in several different media (e.g. drawing, painting, sculpture, sound, video, photography, writings and new media etc.) while digging into big questions about art and artistic expression: How can we think about art today? What can artists do in the world? What are the distinctions between forms of art? How does art relate to place? Each year the works taught will be taught thematically."
YHU2292,Introduction to Writing Poetry,Arts and Humanities,,,,Intro Class,,"As its title implies, this course will introduce students to the art of writing poetry. There will be readings assigned, but this will mainly be a writing course with weekly writing assignments and peer critiques."
YHU3293,Japanese Woodblock Prints,Arts and Humanities,,,,,,"This course will provide a thorough introduction to Japan’s most celebrated artistic medium from the mid-17th century to the modern era. Along with close studies of technological developments, major genres, and master printmakers, the course will explore complex issues of urban culture, print capitalism, censorship, representation of war and national identity, gender roles, and portrayals of modernization."
YHU2293,Introduction to Fiction Writing,Arts and Humanities,,,,Intro Class,,"This course will introduce students to the practice of writing fiction, primarily the short story. Students will learn about character development, scene, setting, dialogue and other important elements. Weekly exercises and readings will form a foundation from which students can build their understanding of the craft of fiction."
